starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 18 13:44:21 2020	1595069061	0	13486	13486	13486
Sat Jul 18 13:44:34 2020	1595069074	0	13487	13487	13487
Sat Jul 18 13:44:21 2020	1595069061	0	13489	13489	13489
Sat Jul 18 13:44:02 2020	1595069042	20	13469	13490	13469
Sat Jul 18 13:44:21 2020	1595069061	0	13493	13493	13493
Sat Jul 18 13:44:20 2020	1595069060	0	13495	13495	13494
Sat Jul 18 13:44:22 2020	1595069062	0	13496	13496	13495
Sat Jul 18 13:44:21 2020	1595069061	0	13496	13497	13496
Sat Jul 18 13:44:22 2020	1595069062	0	13497	13497	13496
Sat Jul 18 13:44:21 2020	1595069061	0	13497	13497	13497
Sat Jul 18 13:44:21 2020	1595069061	0	13500	13500	13499
Sat Jul 18 13:44:21 2020	1595069061	0	13501	13501	13500
Sat Jul 18 13:44:21 2020	1595069061	0	13501	13501	13501
Sat Jul 18 13:44:21 2020	1595069061	0	13502	13502	13502
Sat Jul 18 13:44:22 2020	1595069062	0	13502	13502	13502
Sat Jul 18 13:44:22 2020	1595069062	0	13502	13503	13502
Sat Jul 18 13:44:22 2020	1595069062	0	13503	13503	13503
Sat Jul 18 13:44:20 2020	1595069060	0	13504	13504	13502
Sat Jul 18 13:44:21 2020	1595069061	0	13505	13505	13505
Sat Jul 18 13:44:21 2020	1595069061	0	13505	13505	13505
Sat Jul 18 13:44:21 2020	1595069061	0	13506	13506	13506
Sat Jul 18 13:44:21 2020	1595069061	0	13506	13506	13506
Sat Jul 18 13:44:21 2020	1595069061	0	13507	13507	13507
Sat Jul 18 13:44:21 2020	1595069061	0	13508	13508	13500
Sat Jul 18 13:44:21 2020	1595069061	0	13508	13508	13508
Sat Jul 18 13:44:21 2020	1595069061	0	13508	13509	13508
Sat Jul 18 13:44:22 2020	1595069062	0	13509	13509	13508
Sat Jul 18 13:44:22 2020	1595069062	0	13509	13509	13508
Sat Jul 18 13:44:02 2020	1595069042	20	13489	13509	13488
Sat Jul 18 13:44:21 2020	1595069061	0	13511	13511	13510
Sat Jul 18 13:44:21 2020	1595069061	0	13511	13511	13511
Sat Jul 18 13:44:21 2020	1595069061	0	13512	13512	13512
Sat Jul 18 13:44:21 2020	1595069061	0	13514	13514	13514
Sat Jul 18 13:44:21 2020	1595069061	0	13515	13515	13515
